Movie_Name,Rating,Genre,Year,Rating_Score,Votes,Director,Star,Country,Budget,Gross,Company,Release_date
"Happy, Texas",PG-13,Comedy,1999,6.3,9600,Mark Illsley,Jeremy Northam,United States,2500000,1955933,Marked Entertainment,03/12/1999
La fille sur le pont,R,Comedy,1999,7.5,13000,Patrice Leconte,Vanessa Paradis,France,20500000,20205757,Canal+,31/03/1999
Joe the King,R,Crime,1999,6.7,2600,Frank Whaley,Noah Fleiss,United States,20500000,60279,49th Parallel Productions,22/01/1999
Almost Famous,R,Adventure,2000,7.9,260000,Cameron Crowe,Billy Crudup,United States,60000000,47386287,Columbia Pictures,22/09/2000
American Psycho,R,Comedy,2000,7.6,514000,Mary Harron,Christian Bale,United States,7000000,34266564,Am Psycho Productions,14/04/2000
Gladiator,R,Action,2000,8.5,1400000,Ridley Scott,Russell Crowe,United States,103000000,465380802,Dreamworks Pictures,05/05/2000
Snatch,R,Comedy,2000,8.3,800000,Guy Ritchie,Jason Statham,United Kingdom,20500000,83557872,Columbia Pictures,19/01/2001
Requiem for a Dream,Unrated,Drama,2000,8.3,786000,Darren Aronofsky,Ellen Burstyn,United States,4500000,7390108,Artisan Entertainment,15/12/2000
Memento,R,Mystery,2000,8.4,1200000,Christopher Nolan,Guy Pearce,United States,9000000,40047078,Newmarket Capital Group,25/05/2001
Malena,R,Comedy,2000,7.5,94000,Giuseppe Tornatore,Monica Bellucci,Italy,20500000,14493284,Medusa Film,02/02/2001
Cast Away,PG-13,Adventure,2000,7.8,542000,Robert Zemeckis,Tom Hanks,United States,90000000,429632142,Twentieth Century Fox,22/12/2000
Scary Movie,R,Comedy,2000,6.2,238000,Keenen Ivory Wayans,Anna Faris,United States,19000000,278019771,Dimension Films,07/07/2000
The Perfect Storm,PG-13,Action,2000,6.4,160000,Wolfgang Petersen,George Clooney,United States,140000000,328718434,Warner Bros.,30/06/2000
Coyote Ugly,PG-13,Comedy,2000,5.7,108000,David McNally,Piper Perabo,United States,45000000,113916474,Touchstone Pictures,04/08/2000
X-Men,PG-13,Action,2000,7.4,582000,Bryan Singer,Patrick Stewart,United States,75000000,296339528,Twentieth Century Fox,14/07/2000
Space Cowboys,PG-13,Action,2000,6.4,75000,Clint Eastwood,Clint Eastwood,United States,65000000,128884132,Clipsal Films,04/08/2000
The Patriot,R,Action,2000,7.2,260000,Roland Emmerich,Mel Gibson,United States,110000000,215294342,Columbia Pictures,28/06/2000
Erin Brockovich,R,Biography,2000,7.4,182000,Steven Soderbergh,Julia Roberts,United States,52000000,256271286,Universal Pictures,17/03/2000
Unbreakable,PG-13,Drama,2000,7.3,396000,M. Night Shyamalan,Bruce Willis,United States,75000000,248118121,Touchstone Pictures,22/11/2000
Charlie's Angels,PG-13,Action,2000,5.6,179000,McG,Cameron Diaz,United States,93000000,264105545,Columbia Pictures,03/11/2000
Road Trip,R,Comedy,2000,6.4,161000,Todd Phillips,Breckin Meyer,United States,16000000,119754278,Dreamworks Pictures,19/05/2000
The Beach,R,Adventure,2000,6.7,228000,Danny Boyle,Leonardo DiCaprio,United States,50000000,144056873,Figment Films,11/02/2000
Bring It on,PG-13,Comedy,2000,6,90000,Peyton Reed,Kirsten Dunst,United States,11000000,90449929,Beacon Communications,25/08/2000
Remember the Titans,PG,Biography,2000,7.8,202000,Boaz Yakin,Denzel Washington,United States,30000000,136771683,Jerry Bruckheimer Films,29/09/2000
Mission: Impossible II,PG-13,Action,2000,6.1,322000,John Woo,Tom Cruise,United States,125000000,546388108,Paramount Pictures,24/05/2000
"O Brother, Where Art Thou?",PG-13,Adventure,2000,7.7,295000,Joel Coen,George Clooney,United Kingdom,26000000,71870729,Touchstone Pictures,02/02/2001
The 6th Day,PG-13,Action,2000,5.9,118000,Roger Spottiswoode,Arnold Schwarzenegger,United States,82000000,96085477,Phoenix Pictures,17/11/2000
Chicken Run,G,Animation,2000,7,181000,Peter Lord,Mel Gibson,United States,45000000,224834564,Aardman Animations,23/06/2000
The Cell,R,Crime,2000,6.4,97000,Tarsem Singh,Jennifer Lopez,United States,33000000,104155843,New Line Cinema,18/08/2000
